1,Sat,04:24,05:45,12:20,16:56,18:54,20:16
2,Sun,04:24,05:46,12:20,16:57,18:55,20:16
3,Mon,04:24,05:46,12:20,16:57,18:55,20:16
4,Tue,04:25,05:46,12:21,16:57,18:55,20:16
5,Wed,04:25,05:47,12:21,16:57,18:55,20:16
6,Thu,04:26,05:47,12:21,16:57,18:55,20:16
7,Fri,04:26,05:47,12:21,16:57,18:55,20:16
8,Sat,04:26,05:48,12:21,16:57,18:55,20:16
9,Sun,04:27,05:48,12:21,16:57,18:55,20:16
10,Mon,04:27,05:48,12:21,16:57,18:55,20:15
11,Tue,04:28,05:49,12:22,16:57,18:55,20:15
12,Wed,04:28,05:49,12:22,16:56,18:54,20:15
13,Thu,04:29,05:49,12:22,16:56,18:54,20:15
14,Fri,04:29,05:50,12:22,16:56,18:54,20:15
15,Sat,04:30,05:50,12:22,16:56,18:54,20:14
16,Sun,04:30,05:50,12:22,16:56,18:54,20:14
17,Mon,04:30,05:51,12:22,16:56,18:54,20:14
18,Tue,04:31,05:51,12:22,16:56,18:54,20:14
19,Wed,04:31,05:51,12:22,16:55,18:53,20:13
20,Thu,04:32,05:52,12:22,16:55,18:53,20:13
21,Fri,04:32,05:52,12:23,16:55,18:53,20:12
22,Sat,04:33,05:52,12:23,16:55,18:53,20:12
23,Sun,04:33,05:53,12:23,16:54,18:52,20:12
24,Mon,04:34,05:53,12:23,16:54,18:52,20:11
25,Tue,04:34,05:53,12:23,16:54,18:52,20:11
26,Wed,04:35,05:54,12:23,16:53,18:52,20:10
27,Thu,04:35,05:54,12:23,16:53,18:51,20:10
28,Fri,04:36,05:54,12:23,16:53,18:51,20:09
29,Sat,04:36,05:55,12:23,16:52,18:50,20:09
30,Sun,04:37,05:55,12:23,16:52,18:50,20:08
31,Mon,04:37,05:55,12:22,16:51,18:50,20:08
